epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7158,1.70854,3.45663,1.37627,0.03188,0.36256,0.05856,0.04453,1.15835,3.3023,1.13223,8e-05,8e-05,8e-05
2,34.6182,1.43083,3.01939,1.21626,0.05,0.56872,0.1067,0.07446,1.38141,3.1201,1.11897,0.000176436,0.000176436,0.000176436
3,52.1965,1.36648,2.10521,1.10554,0.88287,0.08932,0.36504,0.24113,1.28109,2.70653,1.0632,0.000268912,0.000268912,0.000268912
4,69.4645,1.33835,1.52946,1.08798,0.91983,0.27189,0.60826,0.3928,1.30116,2.37246,1.04143,0.000357428,0.000357428,0.000357428
5,116.377,1.31816,1.38343,1.05608,0.82582,0.24718,0.53483,0.32293,1.42835,2.33654,1.09026,0.000441984,0.000441984,0.000441984
6,137.231,1.26497,1.36596,1.05208,0.8584,0.24422,0.54135,0.35328,1.24077,2.25213,1.0224,0.00052258,0.00052258,0.00052258
7,186.15,1.27296,1.32307,1.02755,0.90192,0.32688,0.64504,0.43617,1.19774,2.05354,1.01872,0.000599216,0.000599216,0.000599216
8,204.08,1.22002,1.24754,1.00536,0.82762,0.37441,0.64969,0.43094,1.23026,1.91704,1.03072,0.000671892,0.000671892,0.000671892
9,220.507,1.1624,1.15385,1.00937,0.86559,0.50358,0.69967,0.45668,1.22972,1.85879,1.03059,0.000740608,0.000740608,0.000740608
10,237.398,1.24067,1.18253,1.02737,0.76537,0.57973,0.6809,0.43106,1.27404,1.7638,1.02672,0.000805364,0.000805364,0.000805364
11,253.754,1.20595,1.19627,1.0121,0.79892,0.61199,0.73598,0.48286,1.17206,1.70246,1.00796,0.00086616,0.00086616,0.00086616
12,270.597,1.21541,1.10796,1.00515,0.83935,0.56872,0.71113,0.46702,1.28015,1.65641,1.0535,0.000922996,0.000922996,0.000922996
13,287.117,1.19445,1.11597,1.01473,0.84491,0.59384,0.70543,0.46569,1.29923,1.64533,1.05906,0.000975872,0.000975872,0.000975872
14,303.774,1.16227,1.10807,1.00481,0.87791,0.63045,0.74905,0.5023,1.16038,1.63601,1.01468,0.00102479,0.00102479,0.00102479
15,320.463,1.10825,1.0342,0.98943,0.84533,0.63981,0.72798,0.49456,1.19632,1.57561,1.02479,0.00106974,0.00106974,0.00106974
16,336.566,1.10747,1.08709,1.01439,0.81182,0.66351,0.72118,0.4871,1.20499,1.50082,1.03069,0.00111074,0.00111074,0.00111074
17,352.646,1.13801,1.02794,0.99874,0.83856,0.68246,0.75844,0.50346,1.16886,1.44604,1.03373,0.00114778,0.00114778,0.00114778
18,368.813,1.15253,1.05214,1.00812,0.85795,0.70129,0.79681,0.539,1.15388,1.29286,1.00779,0.00118085,0.00118085,0.00118085
19,384.975,1.1203,0.96224,0.9822,0.88124,0.70379,0.80206,0.55111,1.15313,1.21636,1.00292,0.00120997,0.00120997,0.00120997
20,401.193,1.11564,1.00285,0.99394,0.85698,0.7346,0.82793,0.57261,1.1169,1.23186,0.99957,0.00123512,0.00123512,0.00123512
21,417.563,1.11106,0.97493,0.98435,0.84684,0.72063,0.83198,0.58459,1.0902,1.25003,0.98105,0.001208,0.001208,0.001208
22,433.494,1.03657,0.98556,0.96761,0.84353,0.72818,0.8318,0.58581,1.10285,1.24253,0.99262,0.0011684,0.0011684,0.0011684
23,449.633,1.1235,0.94695,0.9763,0.86241,0.71297,0.82679,0.57989,1.11951,1.20258,1.01286,0.0011288,0.0011288,0.0011288
24,509.588,1.07626,0.89044,0.96111,0.8714,0.72038,0.82326,0.57773,1.0942,1.13314,1.00642,0.0010892,0.0010892,0.0010892
25,525.086,1.09599,0.90828,0.9677,0.85917,0.72038,0.82013,0.57942,1.0759,1.11351,0.99285,0.0010496,0.0010496,0.0010496
26,540.74,1.09796,0.88938,0.96431,0.84341,0.71564,0.81022,0.55137,1.14349,1.08101,1.01973,0.00101,0.00101,0.00101
27,555.743,1.06542,0.9408,0.97449,0.80821,0.72275,0.80248,0.54155,1.16254,1.04763,1.03881,0.0009704,0.0009704,0.0009704
28,571.176,1.0601,0.86249,0.96412,0.83998,0.66825,0.79869,0.56079,1.07939,1.02683,0.99976,0.0009308,0.0009308,0.0009308
29,587.612,1.05309,0.85705,0.95675,0.79734,0.71789,0.80935,0.56674,1.08331,1.00582,0.99519,0.0008912,0.0008912,0.0008912
